,Please respond to each statement with a number between 1 and 7,,,,,,
,1 = Strongly Disagree,,,,,,
,4 = Neither Agree nor Disagree,,,,,,
,7 = Strongly Agree,,,,,,
,Mark an 'x' in one column for each statement,,,,,,
,1,2,3,4,5,6,7
Light Switch,,,,,,,
After Phase 1 - Light Switch,,,,,,,
The system performed the task I wanted,x,,,,,,
I felt in control,,,,,x,,
The system responded to my input in the way that I expected,,x,,,,,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,,,,x
The system improved over time,x,,,,,,
I improved at using the system over time,,,,x,,,
"I always looked directly at my final target, holding the same gaze throughout an episode",x,,,,,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,,,,x,
Please describe your input strategy,Looked at target and exaggerated/altered gaze if arm moved too far in one direction,,,,,,
Any other feedback?,,,,,,,
,,,,,,,
After Phase 2 - Light Switch,,,,,,,
The system performed the task I wanted,,,,,,x,
I felt in control,,,,,x,,
The system responded to my input in the way that I expected,,,,,x,,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,,,x,
The system improved over time,x,,,,,,
I improved at using the system over time,,,,,x,,
"I always looked directly at my final target, holding the same gaze throughout an episode",,x,,,,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,,,,,x
Please describe your input strategy,Same as above,,,,,,
Any other feedback?,,,,,,,
,,,,,,,
After Phase 3 - Light Switch,,,,,,,
The system performed the task I wanted,,,,x,,,
I felt in control,,,,x,,,
The system responded to my input in the way that I expected,x,,,,,,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,,,x,
The system improved over time,x,,,,,,
I improved at using the system over time,,,,x,,,
"I always looked directly at my final target, holding the same gaze throughout an episode",,x,,,,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,,,,x,
Please describe your input strategy,Same as above,,,,,,
Any other feedback?,Never went left,,,,,,
,,,,,,,
Bottle Maze,,,,,,,
After Phase 1 - Bottle Maze,,,,,,,
The system performed the task I wanted,,,,,,x,
I felt in control,,,,,,x,
The system responded to my input in the way that I expected,,,,,,x,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,,x,,
The system improved over time,,x,,,,,
I improved at using the system over time,,,,,,x,
"I always looked directly at my final target, holding the same gaze throughout an episode",,x,,,,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,,,x,,
Please describe your input strategy,Same as above,,,,,,
Any other feedback?,,,,,,,
,,,,,,,
After Phase 2 - Bottle Maze,,,,,,,
The system performed the task I wanted,,,,x,,,
I felt in control,,x,,,,,
The system responded to my input in the way that I expected,,x,,,,,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,,,x,
The system improved over time,,x,,,,,
I improved at using the system over time,,,,x,,,
"I always looked directly at my final target, holding the same gaze throughout an episode",,x,,,,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,,,,x,
Please describe your input strategy,Same as above,,,,,,
Any other feedback?,,,,,,,
,,,,,,,
After Phase 3 - Bottle Maze,,,,,,,
The system performed the task I wanted,,,,,,,
I felt in control,,,,,,,
The system responded to my input in the way that I expected,,,,,,,
"The system was competent at performing tasks, even if they weren't the tasks I wanted",,,,,,,
The system improved over time,,,,,,,
I improved at using the system over time,,,,,,,
"I always looked directly at my final target, holding the same gaze throughout an episode",,,,,,,
"I compensated for flaws in the system by changing my gaze over time (e.g., by exaggerating looking in certain directions)",,,,,,,
Please describe your input strategy,,,,,,,
Any other feedback?,,,,,,,
,,,,,,,
What kind of webcam setup did you use?,Laptop camera,,,,,,
